"timestamp","nbPassengers","age","passengerType","bookingStatus","operatingAirline","originAirport","destinationAirport","departureDate","arrivalDate"
"2019-03-17T13:48:00.932Z","WrappedArray(13, 13, 13, 13)","WrappedArray(71, null, 75, 71, 68, null, 69, null, 71, null, null, 69, null)","WrappedArray(ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KL, KL, KL, KL)","WrappedArray(OSL, EZE, AMS, AMS)","WrappedArray(AMS, AMS, OSL, SCL)","WrappedArray(2019-03-17T17:00:00Z, 2019-03-28T16:35:00Z, 2019-03-29T14:25:00Z, 2019-03-17T20:55:00Z)","WrappedArray(2019-03-17T18:55:00Z, 2019-03-29T09:55:00Z, 2019-03-29T16:15:00Z, 2019-03-18T11:05:00Z)"
"2019-03-17T13:48:01.098Z","WrappedArray(1, 1, 1)","WrappedArray(49)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(AF, AF, KL)","WrappedArray(PEK, CDG, PTY)","WrappedArray(CDG, HAV, AMS)","WrappedArray(2018-08-01T09:05:00Z, 2018-08-01T16:10:00Z, 2019-03-16T18:45:00Z)","WrappedArray(2018-08-01T14:00:00Z, 2018-08-01T20:05:00Z, 2019-03-17T10:55:00Z)"
"2019-03-17T13:48:01.097Z","WrappedArray(3, 3, 3, 3, 3)","WrappedArray(45, 8, 10)","WrappedArray(ADT, CHD, CHD)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(DL, DL, DL, KL, DL)","WrappedArray(MCO, JNB, ATL, AMS, JFK)","WrappedArray(LGA, ATL, MCO, JNB, AMS)","WrappedArray(2019-03-23T10:50:00Z, 2019-03-16T20:25:00Z, 2019-03-17T10:55:00Z, 2019-03-29T10:15:00Z, 2019-03-28T20:11:00Z)","WrappedArray(2019-03-23T13:24:00Z, 2019-03-17T07:15:00Z, 2019-03-17T12:27:00Z, 2019-03-29T22:05:00Z, 2019-03-29T09:00:00Z)"
"2019-03-17T13:48:01.188Z","WrappedArray(1, 1)","WrappedArray(47)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(KL, KL)","WrappedArray(PVG, AMS)","WrappedArray(AMS, PVG)","WrappedArray(2019-03-23T00:15:00Z, 2019-03-17T17:15:00Z)","WrappedArray(2019-03-23T05:20:00Z, 2019-03-18T10:50:00Z)"
"2019-03-17T13:48:01.316Z","WrappedArray(3, 3, 3, 3)","WrappedArray(49, 9, 16)","WrappedArray(ADT, CHD, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KL, KL, KL, DL)","WrappedArray(AMS, AMS, GLA, LAX)","WrappedArray(LAX, GLA, AMS, AMS)","WrappedArray(2019-07-02T09:50:00Z, 2019-07-17T21:15:00Z, 2019-07-02T06:05:00Z, 2019-07-16T19:18:00Z)","WrappedArray(2019-07-02T11:45:00Z, 2019-07-17T21:45:00Z, 2019-07-02T08:45:00Z, 2019-07-17T14:55:00Z)"
"2019-03-17T13:48:01.456Z","WrappedArray(2, 2, 2, 2, 2, 2, 2, 2)","WrappedArray(30, 31)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, ON_REQUEST, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(9W, 9W, KL, 9W, 9W, 9W, AC, AF)","WrappedArray(CDG, AMD, YYZ, BOM, AMD, BOM, CDG, AMS)","WrappedArray(BOM, BOM, AMS, CDG, BOM, AMD, YYZ, CDG)","WrappedArray(2019-01-17T11:30:00Z, 2019-03-16T21:25:00Z, 2019-01-12T18:05:00Z, 2019-03-17T02:50:00Z, 2019-03-16T21:25:00Z, 2019-01-18T05:20:00Z, 2019-03-18T11:30:00Z, 2019-01-16T20:30:00Z)","WrappedArray(2019-01-18T00:50:00Z, 2019-03-16T22:55:00Z, 2019-01-13T07:25:00Z, 2019-03-17T08:20:00Z, 2019-03-16T22:55:00Z, 2019-01-18T06:40:00Z, 2019-03-18T14:45:00Z, 2019-01-16T21:45:00Z)"
"2019-03-17T13:48:01.512Z","WrappedArray(1, 1)","WrappedArray(23)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(AF, AF)","WrappedArray(CDG, SIN)","WrappedArray(SIN, CDG)","WrappedArray(2019-04-25T20:50:00Z, 2019-05-02T22:35:00Z)","WrappedArray(2019-04-26T15:45:00Z, 2019-05-03T06:05:00Z)"
"2019-03-17T13:48:02.064Z","WrappedArray(1, 1, 1, 1)","WrappedArray(53)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(ME, AF, ME, AF)","WrappedArray(BEY, CDG, CDG, IAH)","WrappedArray(CDG, IAH, BEY, CDG)","WrappedArray(2019-10-03T02:05:00Z, 2019-10-03T10:10:00Z, 2019-03-18T13:40:00Z, 2019-03-17T17:05:00Z)","WrappedArray(2019-10-03T05:45:00Z, 2019-10-03T13:45:00Z, 2019-03-18T18:55:00Z, 2019-03-18T08:40:00Z)"
"2019-03-17T13:48:02.115Z","WrappedArray(1, 1, 1, 1, 1, 1)","WrappedArray(49)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(CZ, CZ, CZ, CZ, KL, KL)","WrappedArray(SHE, PEK, PEK, AMS, NCL, AMS)","WrappedArray(PEK, AMS, SHE, PEK, AMS, NCL)","WrappedArray(2019-04-14T00:00:00Z, 2019-04-15T00:30:00Z, 2019-03-18T00:00:00Z, 2019-03-17T00:00:00Z, 2019-03-17T06:00:00Z, 2019-04-15T08:35:00Z)","WrappedArray(2019-04-14T00:00:00Z, 2019-04-15T05:10:00Z, 2019-03-18T00:00:00Z, 2019-03-17T00:00:00Z, 2019-03-17T08:25:00Z, 2019-04-15T08:45:00Z)"
"2019-03-17T13:48:02.272Z","WrappedArray(2, 2)","WrappedArray(null, null)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(BE, BE)","WrappedArray(SOU, EGC)","WrappedArray(EGC, SOU)","WrappedArray(2019-05-10T10:25:00Z, 2019-05-13T13:35:00Z)","WrappedArray(2019-05-10T13:05:00Z, 2019-05-13T14:15:00Z)"
