"nbPassengers0","nbPassengers1","bookingStatus0","bookingStatus1","operatingAirline0","operatingAirline1","originAirport0","originAirport1","departureDate0","departureDate1","arrivalDate0","arrivalDate1","destinationAirport0","destinationAirport1"
1,1,"CONFIRMED","CONFIRMED","AF","AF","NCE","ORY","2019-08-22T10:40:00Z","2019-08-26T11:30:00Z","2019-08-22T12:05:00Z","2019-08-26T12:55:00Z","ORY","NCE"
2,2,"CONFIRMED","CONFIRMED","KL","EY","AMS","CDG","2020-02-06T09:35:00Z","2020-01-15T20:45:00Z","2020-02-06T09:55:00Z","2020-01-16T06:30:00Z","MAN","AUH"
1,1,"CONFIRMED","CONFIRMED","KL","CZ","AMS","AMS","2019-03-29T16:50:00Z","2019-03-18T14:10:00Z","2019-03-29T17:30:00Z","2019-03-19T06:55:00Z","BRU","PEK"
1,1,"CONFIRMED","CONFIRMED","AF","AF","BEG","CDG","2019-06-16T15:25:00Z","2019-06-13T12:20:00Z","2019-06-16T17:55:00Z","2019-06-13T14:35:00Z","CDG","BEG"
1,1,"CONFIRMED","CONFIRMED","AF","DL","CDG","ATL","2019-06-25T13:40:00Z","2019-09-02T17:27:00Z","2019-06-25T17:10:00Z","2019-09-03T08:05:00Z","MIA","AMS"
1,1,"CONFIRMED","CONFIRMED","KL","KL","LHR","AMS","2019-03-14T14:05:00Z","2019-03-18T15:45:00Z","2019-03-14T16:20:00Z","2019-03-18T16:05:00Z","AMS","LHR"
1,"","CONFIRMED","","AF","","CDG","","2019-07-13T09:50:00Z","","2019-07-13T11:10:00Z","","MRS",""
1,1,"CONFIRMED","CONFIRMED","KL","KL","AMS","AMS","2019-03-20T07:20:00Z","2019-03-26T13:25:00Z","2019-03-20T07:40:00Z","2019-03-26T20:05:00Z","LHR","LOS"
2,2,"CONFIRMED","CONFIRMED","AF","AF","PGF","ORY","2019-04-25T13:50:00Z","2019-04-20T17:15:00Z","2019-04-25T15:20:00Z","2019-04-20T18:35:00Z","ORY","PGF"
1,1,"CONFIRMED","CONFIRMED","KL","AF","AMS","CDG","2019-03-21T09:25:00Z","2019-06-26T13:50:00Z","2019-03-21T13:10:00Z","2019-06-26T16:10:00Z","KBP","YYZ"
1,1,"CONFIRMED","CONFIRMED","AF","SN","CDG","BRU","2019-03-18T16:50:00Z","2019-03-19T21:00:00Z","2019-03-18T17:55:00Z","2019-03-19T23:00:00Z","LYS","WAW"
2,2,"CONFIRMED","CONFIRMED","KL","KL","AMS","ATL","2019-03-29T16:50:00Z","2019-03-17T23:25:00Z","2019-03-29T21:25:00Z","2019-03-18T12:25:00Z","ATL","AMS"
8,8,"CONFIRMED","CONFIRMED","A5","A5","LYS","FCO","2019-03-17T20:25:00Z","2019-03-17T17:55:00Z","2019-03-17T21:25:00Z","2019-03-17T19:30:00Z","TLS","LYS"
2,2,"CONFIRMED","CONFIRMED","KL","KL","BUD","AMS","2019-07-14T11:30:00Z","2019-07-04T12:05:00Z","2019-07-14T13:40:00Z","2019-07-04T13:35:00Z","AMS","PRG"
1,1,"CONFIRMED","CONFIRMED","KL","KL","EZE","SCL","2019-03-11T08:55:00Z","2019-03-18T12:45:00Z","2019-03-11T11:05:00Z","2019-03-18T14:35:00Z","SCL","EZE"
3,3,"CONFIRMED","CONFIRMED","AF","AF","CDG","BCN","2019-04-20T21:05:00Z","2019-04-26T20:25:00Z","2019-04-20T22:55:00Z","2019-04-26T22:20:00Z","BCN","CDG"
3,3,"CONFIRMED","CONFIRMED","KQ","KQ","FNA","NBO","2019-03-17T17:10:00Z","2019-03-18T07:00:00Z","2019-03-18T05:35:00Z","2019-03-18T15:45:00Z","NBO","BOM"
1,1,"CONFIRMED","CONFIRMED","KL","KL","EZE","SCL","2019-03-11T08:55:00Z","2019-03-18T12:45:00Z","2019-03-11T11:05:00Z","2019-03-18T14:35:00Z","SCL","EZE"
2,2,"CONFIRMED","CONFIRMED","KL","KL","TLS","OSL","2019-03-19T13:30:00Z","2019-03-25T17:00:00Z","2019-03-19T15:30:00Z","2019-03-25T18:55:00Z","AMS","AMS"
1,1,"CONFIRMED","CONFIRMED","AF","AF","PTP","ORY","2019-03-21T18:00:00Z","2019-03-28T11:45:00Z","2019-03-22T07:00:00Z","2019-03-28T15:25:00Z","ORY","PTP"
1,1,"CONFIRMED","CONFIRMED","KL","CZ","PEK","AMS","2019-03-29T11:55:00Z","2019-03-18T14:10:00Z","2019-03-29T15:30:00Z","2019-03-19T06:55:00Z","AMS","PEK"
2,2,"CONFIRMED","CONFIRMED","AF","AF","PTP","LRH","2019-05-10T17:15:00Z","2019-04-27T08:30:00Z","2019-05-11T07:15:00Z","2019-04-27T09:55:00Z","ORY","ORY"
1,1,"CONFIRMED","CONFIRMED","KL","KL","SFO","AMS","2019-07-10T16:30:00Z","2019-07-06T09:50:00Z","2019-07-11T11:50:00Z","2019-07-06T11:45:00Z","AMS","SFO"
2,"","CONFIRMED","","AF","","CDG","","2019-03-17T15:20:00Z","","2019-03-17T16:50:00Z","","NCE",""
1,"","SEAT_AVAILABLE","","AF","","TXL","","2019-03-17T18:05:00Z","","2019-03-17T19:55:00Z","","CDG",""
1,1,"CONFIRMED","CONFIRMED","KL","KL","AMS","MUC","2019-05-30T07:15:00Z","2019-06-02T11:50:00Z","2019-05-30T08:40:00Z","2019-06-02T13:25:00Z","MUC","AMS"
2,2,"CONFIRMED","CONFIRMED","KL","DL","LOS","IAH","2019-04-02T21:45:00Z","2019-03-17T19:56:00Z","2019-04-03T05:45:00Z","2019-03-18T15:35:00Z","AMS","LOS"
1,1,"CONFIRMED","CONFIRMED","AF","DL","CDG","ATL","2019-06-25T13:40:00Z","2019-09-02T17:27:00Z","2019-06-25T17:10:00Z","2019-09-03T08:05:00Z","MIA","AMS"
1,1,"CONFIRMED","CONFIRMED","KL","KL","AMS","VIE","2019-03-29T09:35:00Z","2019-03-17T12:15:00Z","2019-03-29T14:15:00Z","2019-03-17T14:10:00Z","ATL","AMS"
2,2,"UNACCEPTED","CONFIRMED","KL","KL","AMS","AMS","2019-03-17T14:35:00Z","2019-03-17T17:10:00Z","2019-03-18T00:05:00Z","2019-03-18T02:55:00Z","DXB","DXB"
1,1,"CONFIRMED","CONFIRMED","AF","XK","BIA","ORY","2019-06-02T13:05:00Z","2019-06-07T21:25:00Z","2019-06-02T14:45:00Z","2019-06-07T23:00:00Z","ORY","BIA"
2,2,"CONFIRMED","CONFIRMED","DL","LH","MSP","DFW","2019-09-14T14:30:00Z","2019-08-09T16:00:00Z","2019-09-14T17:10:00Z","2019-08-10T08:50:00Z","DFW","FRA"
1,"","SEAT_AVAILABLE","","AF","","FCO","","2019-03-18T13:05:00Z","","2019-03-18T15:20:00Z","","CDG",""
1,"","CONFIRMED","","KQ","","NBO","","2019-03-25T10:00:00Z","","2019-03-25T11:00:00Z","","MBA",""
2,2,"CONFIRMED","CONFIRMED","AF","AF","PGF","ORY","2019-04-25T13:50:00Z","2019-04-20T17:15:00Z","2019-04-25T15:20:00Z","2019-04-20T18:35:00Z","ORY","PGF"
